accuracy,loss,val_accuracy,val_loss
0.7697469592094421,0.47459733486175537,0.625,0.6342383623123169
0.8504601120948792,0.3472074866294861,0.6875,0.540419340133667
0.887269914150238,0.28557145595550537,0.6875,0.4927152395248413
0.9033742547035217,0.24799691140651703,0.6875,0.44726985692977905
0.9139187335968018,0.22403986752033234,0.75,0.4259321093559265
0.9242714643478394,0.2112192064523697,0.6875,0.44395625591278076
0.9263803958892822,0.19592495262622833,0.75,0.4242165982723236
0.9353911280632019,0.1826077252626419,0.75,0.4278929829597473
0.9355828166007996,0.17406482994556427,0.8125,0.4176008701324463
0.9399923086166382,0.16995252668857574,0.875,0.40047967433929443
0.9442101120948792,0.156981959939003,0.875,0.3836889863014221
0.9440184235572815,0.15716469287872314,0.875,0.3847143352031708
0.9486196041107178,0.14792633056640625,0.875,0.37324464321136475
0.9478527903556824,0.14760063588619232,0.875,0.3703067898750305
0.9503450989723206,0.14136429131031036,0.875,0.38058358430862427
